,year,SeaLevel,average,moon_phase_sin,moon_phase_cos,actual_year,month,month_sin,month_cos,Temperature
year,,0.0,0.0,6.45712898327913e-178,7.725264343013685e-27,0.0,0.8942555087808711,0.6873450233689478,0.7346186283691312,0.0
SeaLevel,0.0,,0.0,3.362673186260318e-166,2.017763935287711e-27,0.0,6.9597839177944e-06,1.2628317754331467e-05,5.93272992052448e-06,0.0
average,0.0,0.0,,1.145097004715572e-176,1.2093857468460381e-26,0.0,0.0393749759618018,0.000723589004713416,0.3988968257460985,0.0
moon_phase_sin,6.45712898327913e-178,3.362673186260318e-166,1.145097004715572e-176,,0.2946849353685818,5.633955385748374e-178,0.9502355973234535,0.8024254086674959,0.8547613734651504,6.936617971225443e-86
moon_phase_cos,7.725264343013685e-27,2.017763935287711e-27,1.2093857468460381e-26,0.2946849353685819,,8.303410330329998e-27,0.4194891566010791,0.4337603238289023,0.5492700685539428,7.489546378936297e-26
actual_year,0.0,0.0,0.0,5.633955385748374e-178,8.30341033032994e-27,,0.1509084245331594,0.16075545085786036,0.8966992798843436,0.0
month,0.8942555087808711,6.9597839177944e-06,0.0393749759618018,0.9502355973234535,0.4194891566010791,0.15090842453315928,,1.4777488425050459e-291,4.6148465966381395e-08,0.0663259488264136
month_sin,0.6873450233689478,1.2628317754331467e-05,0.000723589004713416,0.8024254086674959,0.4337603238289023,0.16075545085786036,1.4777488425050459e-291,,0.8473488379099055,0.057019667728672285
month_cos,0.7346186283691312,5.9327299205244685e-06,0.3988968257460985,0.8547613734651504,0.5492700685539428,0.8966992798843436,4.6148465966381395e-08,0.8473488379099055,,0.018821710531824958
Temperature,0.0,0.0,0.0,6.936617971225443e-86,7.489546378936297e-26,0.0,0.0663259488264136,0.057019667728672285,0.018821710531824958,
